artist_group_key,artist_group_name
2bfa81c65c7aa7ff33a6f6e4ca2ae4eb,Laufey
2bbbfc164420bd2643f092158899ddef,JVKE
e07c5d50a780b73be97abfc044623912,"Andrew Garfield, Robin de Jesús"
7c5ade542574ac355b1779c5ea918e64,"Andy Grammer, Fitz And The Tantrums"
af4350be32150434e0aace5c3620def4,"Sad Alex, Caleb Hearn"
5aa19af88cffcb1c5b65f3c542f68ed9,G.Soul
8169ad5419df96ed7c523e459a9e54f1,fromis_9
aab2f6c6c2ef4679444dcbf14dd28742,MANWOLVES
2d102562b6be0d5e31696a4754155a71,Lauren Spencer Smith
2ccfe252b25ba508eec7ffb7a3617fcb,Gareth.T
18bc963752cd1de09a71348766ffed12,5 Seconds of Summer
1253ee69fccc013b8ba8204ee8cf457f,Fujii Kaze
a0c6a105445ab41fc8117703ded1113c,Ava Maybee
150261d5e8bef1c0d1258bfc698ee4fa,"Zico, Homies"
40e3a9ce634334d988f91e601fc0e6ad,Nana Ou-yang
0090d3889ec127ab0bab0c815d24a5ea,BLUE ENCOUNT
bcf96a80956ee901a787d7c10c8380a1,NO:EL
37c2fcb0b2e2389cd056c2e7f92ca1fc,M.C The Max
16fbae61ac4d7d48e64af8c6578293bc,Hybs
f3626d4d9a2aa9d1d19786666943aa6a,Gwangil Jo
ddbe13854f4de7daac81be3cd9776ade,Monday Kiz
f3d49c662b77a09c6ec54c0192be5612,Night Off
c6646fe8375e1902325d0b1c9b2f099d,Armani White
2cf42bf56096bc9b69700ff8c8673108,Lilacs. & Lizzy McAlpine
b05c91730fbba5650d41d2f18f357f31,Why Don't We
5d37177f3fc58ad4cdaea3dbd249cdb0,Lauv
bf6e82d81678cf6e86fd02f760615856,"Seven Lions, Excision, Wooli, Dylan Matthew"
10f70b2c263d080b4386e9d9d8cd85e8,매니악 & 블랙나인 (BLACK NINE) & 에이솔 & 우원재
673dc41553f303219cb70356e3371ed3,"Whethan, Yeat, midwxst, Matt OX"
1d19f88a0aa69bb9b0c395b2dc1d6f9c,Kim Seungmin
a5802ced956204f461367c94fa38c1ec,"Demi Lovato, YUNGBLUD"
9b38c8dbdc7b01384a39b9720ce5c076,"Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesús, Alexandra Shipp, MJ Rodriguez"
9ed941424de6039769a870266f81ea59,藤井 風
8167290bd740f3e581d8e0247c8efdbe,Def.
38c50b731f70abc42c8baa3e7399b413,Since
f66a86c3deae0412f75dc771a42ccde5,OH MY GIRL
8ababca1bd23fcc92ad6617a096ad4a0,"Post Malone, Ty Dolla $ign"
8df54263cd6e83459c2b82a584b734d5,Youra
92333ef94ca48df42ba9e244c1964327,Gaho
62a259c52a81019bc1291d6c2f072797,Joji
dac335c2011ed8480d2f08a61bad2f8c,Stephanie Poetri
9aa740c48f4ad6f871dfd4a5677b4105,"SINCE, CODE KUNST, Mirani"
37196f8afe61d6f42308350418bc6623,"Geegooin, unofficialboyy, Mudd the student, Anandelight, BE′O, Mino, Gray"
