time_of_day_key,time,hour
300,00:03:00.000000,0
500,00:05:00.000000,0
800,00:08:00.000000,0
1200,00:12:00.000000,0
1400,00:14:00.000000,0
1600,00:16:00.000000,0
1900,00:19:00.000000,0
2200,00:22:00.000000,0
2500,00:25:00.000000,0
2800,00:28:00.000000,0
3200,00:32:00.000000,0
3500,00:35:00.000000,0
3700,00:37:00.000000,0
4000,00:40:00.000000,0
5200,00:52:00.000000,0
5400,00:54:00.000000,0
11900,01:19:00.000000,1
12200,01:22:00.000000,1
12400,01:24:00.000000,1
12600,01:26:00.000000,1
14500,01:45:00.000000,1
15100,01:51:00.000000,1
15400,01:54:00.000000,1
15700,01:57:00.000000,1
15900,01:59:00.000000,1
20200,02:02:00.000000,2
62800,06:28:00.000000,6
64800,06:48:00.000000,6
65000,06:50:00.000000,6
65300,06:53:00.000000,6
65500,06:55:00.000000,6
65700,06:57:00.000000,6
70000,07:00:00.000000,7
70100,07:01:00.000000,7
70200,07:02:00.000000,7
70300,07:03:00.000000,7
70400,07:04:00.000000,7
70500,07:05:00.000000,7
70600,07:06:00.000000,7
70700,07:07:00.000000,7
70800,07:08:00.000000,7
71000,07:10:00.000000,7
71200,07:12:00.000000,7
71300,07:13:00.000000,7
71400,07:14:00.000000,7
71600,07:16:00.000000,7
71700,07:17:00.000000,7
71800,07:18:00.000000,7
71900,07:19:00.000000,7
72000,07:20:00.000000,7
72100,07:21:00.000000,7
72200,07:22:00.000000,7
72300,07:23:00.000000,7
72400,07:24:00.000000,7
72500,07:25:00.000000,7
72600,07:26:00.000000,7
72700,07:27:00.000000,7
72800,07:28:00.000000,7
72900,07:29:00.000000,7
73000,07:30:00.000000,7
73100,07:31:00.000000,7
73200,07:32:00.000000,7
73300,07:33:00.000000,7
73400,07:34:00.000000,7
73500,07:35:00.000000,7
73600,07:36:00.000000,7
73700,07:37:00.000000,7
73800,07:38:00.000000,7
73900,07:39:00.000000,7
74000,07:40:00.000000,7
74100,07:41:00.000000,7
74200,07:42:00.000000,7
74300,07:43:00.000000,7
74400,07:44:00.000000,7
74500,07:45:00.000000,7
74600,07:46:00.000000,7
74700,07:47:00.000000,7
74800,07:48:00.000000,7
74900,07:49:00.000000,7
75000,07:50:00.000000,7
75100,07:51:00.000000,7
75200,07:52:00.000000,7
75300,07:53:00.000000,7
75400,07:54:00.000000,7
75500,07:55:00.000000,7
75600,07:56:00.000000,7
75700,07:57:00.000000,7
75800,07:58:00.000000,7
75900,07:59:00.000000,7
80000,08:00:00.000000,8
80100,08:01:00.000000,8
80200,08:02:00.000000,8
80300,08:03:00.000000,8
80400,08:04:00.000000,8
80500,08:05:00.000000,8
80600,08:06:00.000000,8
80700,08:07:00.000000,8
80800,08:08:00.000000,8
80900,08:09:00.000000,8
81000,08:10:00.000000,8
81100,08:11:00.000000,8
81200,08:12:00.000000,8
81300,08:13:00.000000,8
81400,08:14:00.000000,8
81500,08:15:00.000000,8
81600,08:16:00.000000,8
81700,08:17:00.000000,8
81800,08:18:00.000000,8
81900,08:19:00.000000,8
82000,08:20:00.000000,8
82100,08:21:00.000000,8
82200,08:22:00.000000,8
82300,08:23:00.000000,8
82400,08:24:00.000000,8
82500,08:25:00.000000,8
82600,08:26:00.000000,8
82700,08:27:00.000000,8
82800,08:28:00.000000,8
82900,08:29:00.000000,8
83000,08:30:00.000000,8
83100,08:31:00.000000,8
83200,08:32:00.000000,8
83300,08:33:00.000000,8
83400,08:34:00.000000,8
83500,08:35:00.000000,8
83600,08:36:00.000000,8
83700,08:37:00.000000,8
83900,08:39:00.000000,8
84000,08:40:00.000000,8
84100,08:41:00.000000,8
84200,08:42:00.000000,8
84300,08:43:00.000000,8
84400,08:44:00.000000,8
84500,08:45:00.000000,8
84600,08:46:00.000000,8
84700,08:47:00.000000,8
84800,08:48:00.000000,8
84900,08:49:00.000000,8
85000,08:50:00.000000,8
85100,08:51:00.000000,8
85200,08:52:00.000000,8
85300,08:53:00.000000,8
85400,08:54:00.000000,8
85500,08:55:00.000000,8
85600,08:56:00.000000,8
85800,08:58:00.000000,8
90000,09:00:00.000000,9
90200,09:02:00.000000,9
90300,09:03:00.000000,9
90500,09:05:00.000000,9
90600,09:06:00.000000,9
90800,09:08:00.000000,9
90900,09:09:00.000000,9
91100,09:11:00.000000,9
91200,09:12:00.000000,9
91300,09:13:00.000000,9
91400,09:14:00.000000,9
91500,09:15:00.000000,9
91600,09:16:00.000000,9
91700,09:17:00.000000,9
91900,09:19:00.000000,9
92100,09:21:00.000000,9
92300,09:23:00.000000,9
92600,09:26:00.000000,9
92800,09:28:00.000000,9
92900,09:29:00.000000,9
93100,09:31:00.000000,9
93200,09:32:00.000000,9
93400,09:34:00.000000,9
93500,09:35:00.000000,9
93600,09:36:00.000000,9
93700,09:37:00.000000,9
94000,09:40:00.000000,9
94100,09:41:00.000000,9
94200,09:42:00.000000,9
94300,09:43:00.000000,9
94400,09:44:00.000000,9
94500,09:45:00.000000,9
94600,09:46:00.000000,9
94700,09:47:00.000000,9
94800,09:48:00.000000,9
94900,09:49:00.000000,9
95000,09:50:00.000000,9
95100,09:51:00.000000,9
95200,09:52:00.000000,9
95300,09:53:00.000000,9
95400,09:54:00.000000,9
95500,09:55:00.000000,9
95600,09:56:00.000000,9
95700,09:57:00.000000,9
95800,09:58:00.000000,9
95900,09:59:00.000000,9
100000,10:00:00.000000,10
100100,10:01:00.000000,10
100200,10:02:00.000000,10
100300,10:03:00.000000,10
100400,10:04:00.000000,10
100500,10:05:00.000000,10
100600,10:06:00.000000,10
